nom;prenom;telephone;email;fonction;preference_contact;commentaires;nom_agence
Hernandez;Lucas;;trolland@example.com;Directeur;e-mail;;Morvan et Fils
Bègue;Marc;07 63 16 86 65;stephanie80@example.com;Comptable;autre;Position terrain reste sommet place.;Morvan et Fils
Ramos;Lucy;;letellierdenis@example.org;Assistant;autre;Puis travailler cent argent bien.;Morvan et Fils
Brun;Maurice;557768269;eugeneweiss@example.org;Agent Immobilier;autre;;Morvan et Fils
Gomez;Théophile;;potieralice@example.org;Directeur;e-mail;;Lemaire
Lefort;Nicole;456031825;bousquetnoel@example.com;Agent Immobilier;e-mail;Briser mémoire alors bras.;Lemaire
Lemonnier;Victor;;jerome21@example.net;Assistant;téléphone;Tout ici rassurer bien bientôt famille.;Lemaire
Besnard;Émilie;;durandpaul@example.com;Directeur;téléphone;Voisin poche but mais lit devenir usage conseil.;Ribeiro Lebon SARL
Carpentier;Jean;+33 2 29 33 47 88;nicole32@example.com;Directeur;téléphone;Figure tenir haute déchirer bout supporter.;Ribeiro Lebon SARL
Laporte;Jeanne;;gilles90@example.net;Comptable;e-mail;;Hebert François S.A.
Laroche;Philippe;+33 6 99 58 35 56;andre29@example.com;Directeur;téléphone;Oiseau tout second changement point crise pièce.;Hebert François S.A.
Brun;Maurice;557768269;eugeneweiss@example.org;Agent Immobilier;autre;;Hebert François S.A.
Petit;Arnaude;;piresmathilde@example.org;Comptable;autre;;Olivier
Charles;Christiane;;danielmartin@example.net;Agent Immobilier;autre;;Olivier
Perret;Andrée;+33 (0)3 51 42 47 30;antoinettefischer@example.org;Comptable;e-mail;;Lucas et Fils
Besnard;Émilie;;durandpaul@example.com;Directeur;téléphone;Voisin poche but mais lit devenir usage conseil.;Lucas et Fils
Gomez;Théophile;;potieralice@example.org;Directeur;e-mail;;Moreno
Carpentier;Jean;+33 2 29 33 47 88;nicole32@example.com;Directeur;téléphone;Figure tenir haute déchirer bout supporter.;Blin Fernandes et Fils
Laporte;Jeanne;;gilles90@example.net;Comptable;e-mail;;Blin Fernandes et Fils
Clerc;Antoinette;04 92 43 00 77;suzannesimon@example.org;Directeur;e-mail;Violent rassurer drame fixer entrée.;Blin Fernandes et Fils
Hoareau;Élodie;;gabriel38@example.com;Assistant;téléphone;Espérer ligne reste dent sûr côte nature.;Goncalves S.A.
Lemonnier;Victor;;jerome21@example.net;Assistant;téléphone;Tout ici rassurer bien bientôt famille.;Goncalves S.A.
Clerc;Antoinette;04 92 43 00 77;suzannesimon@example.org;Directeur;e-mail;Violent rassurer drame fixer entrée.;Goncalves S.A.
Pichon;Olivier;;henrile-gall@example.org;Assistant;e-mail;;Goncalves S.A.
Leroy;François;+33 2 32 38 25 85;aleveque@example.net;Comptable;téléphone;Verre ouvrir pluie soumettre.;Dupuis
